,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
12,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9083,0.3417588717918792,0.14283524404171521,0.06799008,[None],1,cifar10,cifar10,cifar10,Neural Network
13,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9024,0.3592259957175748,0.15284323321143783,0.068547696,[None],2,cifar10,cifar10,cifar10,Neural Network
14,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9042,0.3458166371007152,0.14830270768292203,0.07228156,[None],3,cifar10,cifar10,cifar10,Neural Network
15,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9,0.3737820619234752,0.15419992795171797,0.07267871,[None],4,cifar10,cifar10,cifar10,Neural Network
16,googlenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/googlenet/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.95,0.16627277873513602,0.07627219726202744,0.045818444,[None],0,cifar10,cifar10,cifar10,Neural Network
17,googlenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/googlenet/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9505,0.16474212155388182,0.07517389748953728,0.042386718,[None],1,cifar10,cifar10,cifar10,Neural Network
18,googlenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/googlenet/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9537,0.15886641722138448,0.07228392833912706,0.04220384,[None],2,cifar10,cifar10,cifar10,Neural Network
19,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.7544,0.7247026196327959,0.34276717415954117,0.33220562,[None],0,cifar10,cifar10,cifar10,Neural Network
20,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.754,0.7226102551119972,0.34320522905777845,0.33699337,[None],1,cifar10,cifar10,cifar10,Neural Network
21,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.7524,0.7104990504037507,0.33855657788575444,0.33308658,[None],2,cifar10,cifar10,cifar10,Neural Network
22,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.7582,0.7041102263197043,0.33524051505109476,0.33349365,[None],3,cifar10,cifar10,cifar10,Neural Network
23,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.7507,0.7217935414624519,0.3435235947255339,0.3374204,[None],4,cifar10,cifar10,cifar10,Neural Network
24,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.8905,0.35569403974071695,0.16433705619147818,0.09590549,[None],0,cifar10,cifar10,cifar10,Neural Network
25,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.8965,0.3385911233639918,0.15588212891641864,0.09683574,[None],1,cifar10,cifar10,cifar10,Neural Network
26,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.8895,0.3513718979074498,0.16436915971269872,0.097627774,[None],2,cifar10,cifar10,cifar10,Neural Network
27,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.8967,0.3424212919348203,0.15804528831349365,0.096287094,[None],3,cifar10,cifar10,cifar10,Neural Network
28,mobilenetv2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenetv2/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9129,0.29141973697750534,0.13153446903251942,0.07269043,[None],0,cifar10,cifar10,cifar10,Neural Network
29,mobilenetv2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenetv2/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9064,0.3105705284005082,0.14230015011433006,0.08082426,[None],1,cifar10,cifar10,cifar10,Neural Network
30,pnasneta,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasneta/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.8066,0.5784200553232588,0.27657004113133676,0.24342453,[None],0,cifar10,cifar10,cifar10,Neural Network
31,pnasneta,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasneta/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.8257,0.5223944922924977,0.24805057196990588,0.19072372,[None],1,cifar10,cifar10,cifar10,Neural Network
32,pnasneta,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasneta/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.8255,0.5180782725996684,0.2492162015837629,0.19760583,[None],2,cifar10,cifar10,cifar10,Neural Network
33,pnasneta,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasneta/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.8188,0.5395992630516357,0.25950101488990385,0.2122883,[None],3,cifar10,cifar10,cifar10,Neural Network
34,pnasneta,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasneta/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.822,0.5407749630407118,0.2562992738102731,0.2102917,[None],4,cifar10,cifar10,cifar10,Neural Network
35,pnasnetb,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasnetb/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9158,0.3677436505529827,0.13999358850527371,0.03995781,[None],0,cifar10,cifar10,cifar10,Neural Network
36,pnasnetb,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasnetb/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9113,0.3900643074755091,0.14974281593768002,0.041482426,[None],1,cifar10,cifar10,cifar10,Neural Network
37,pnasnetb,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasnetb/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9192,0.36948964898486936,0.13808406645976856,0.03608442,[None],2,cifar10,cifar10,cifar10,Neural Network
38,pnasnetb,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasnetb/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9185,0.3552013148738854,0.13629484047554774,0.037960924,[None],3,cifar10,cifar10,cifar10,Neural Network
39,pnasnetb,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasnetb/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9185,0.3552013148738854,0.13629484047554774,0.037960924,[None],4,cifar10,cifar10,cifar10,Neural Network
40,preactresnet101,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/preactresnet101/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9504,0.1947702877661242,0.08073718836988014,0.033909485,[None],0,cifar10,cifar10,cifar10,Neural Network
41,preactresnet101,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/preactresnet101/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9515,0.20724823450871308,0.08029953792350271,0.028963448,[None],1,cifar10,cifar10,cifar10,Neural Network
42,preactresnet101,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/preactresnet101/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9532,0.20192826075494613,0.07648142207111544,0.026337866,[None],2,cifar10,cifar10,cifar10,Neural Network
43,preactresnet18,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/preactresnet18/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9462,0.22742424049715065,0.08799230450899163,0.028518237,[None],0,cifar10,cifar10,cifar10,Neural Network
44,preactresnet18,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/preactresnet18/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9454,0.22458206331344582,0.08757487193440919,0.033659715,[None],1,cifar10,cifar10,cifar10,Neural Network
45,preactresnet18,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/preactresnet18/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9526,0.19676922602944436,0.07826740575495197,0.029831536,[None],2,cifar10,cifar10,cifar10,Neural Network
46,preactresnet34,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/preactresnet34/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9507,0.20190434400082755,0.08022169837724512,0.028034745,,0,cifar10,cifar10,cifar10,Neural Network
47,preactresnet50,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/preactresnet50/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9531,0.20312485883179748,0.0780676243066745,0.02749334,[None],0,cifar10,cifar10,cifar10,Neural Network
48,preactresnet50,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/preactresnet50/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9502,0.17074008310462788,0.07717929019556886,0.039358716,[None],1,cifar10,cifar10,cifar10,Neural Network
49,preactresnet50,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/preactresnet50/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.957,0.1587901572615263,0.06840257616723086,0.03325445,[None],2,cifar10,cifar10,cifar10,Neural Network
50,regnetx_200mf,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/regnetx_200mf/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9514,0.17579532298839448,0.07757771486894885,0.038118675,[None],0,cifar10,cifar10,cifar10,Neural Network
51,regnetx_200mf,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/regnetx_200mf/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_targets.npy,0.9514,0.17613198352403128,0.07801666166091491,0.03923472,[None],1,cifar10,cifar10,cifar10,Neural Network
