,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
0,densenet121,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet121/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8925,0.4505458999875946,0.17626688438635574,0.057716846,[None],0,cifar101,cifar10,cifar10_1,Neural Network
1,densenet121,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet121/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.89,0.4429437848232683,0.17974789418244105,0.05716139,[None],1,cifar101,cifar10,cifar10_1,Neural Network
2,densenet121,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet121/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8915,0.45133834502865827,0.18367304349377497,0.059233204,[None],2,cifar101,cifar10,cifar10_1,Neural Network
3,densenet121,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet121/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8815,0.47128794958275283,0.19077431257413127,0.056089263,[None],3,cifar101,cifar10,cifar10_1,Neural Network
4,densenet_cifar,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet_cifar/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8695,0.5237053669805248,0.20646153777882137,0.07459416,[None],0,cifar101,cifar10,cifar10_1,Neural Network
5,densenet_cifar,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet_cifar/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.874,0.5043234447945998,0.20234060510366833,0.07193278,[None],1,cifar101,cifar10,cifar10_1,Neural Network
6,densenet_cifar,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet_cifar/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.878,0.5037660893471704,0.1976740907514335,0.06520712,[None],2,cifar101,cifar10,cifar10_1,Neural Network
7,densenet_cifar,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet_cifar/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.867,0.5281048757554142,0.2116538588129399,0.06716894,[None],3,cifar101,cifar10,cifar10_1,Neural Network
8,densenet_cifar,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/densenet_cifar/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8775,0.4896243617571131,0.19534815919477513,0.06858222,[None],4,cifar101,cifar10,cifar10_1,Neural Network
9,dpn26,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/dpn26/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8835,0.4489650953936741,0.18629022110993157,0.07817615,[None],0,cifar101,cifar10,cifar10_1,Neural Network
10,dpn26,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/dpn26/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8865,0.4451478942519593,0.18403092388329717,0.08004067,[None],1,cifar101,cifar10,cifar10_1,Neural Network
11,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8085,0.7289716580790015,0.2966993230730336,0.11560405,[None],0,cifar101,cifar10,cifar10_1,Neural Network
12,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8095,0.6832047095895323,0.2873480583578036,0.12007147,[None],1,cifar101,cifar10,cifar10_1,Neural Network
13,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.813,0.7241402681922772,0.28938498577637917,0.12001917,[None],2,cifar101,cifar10,cifar10_1,Neural Network
14,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.809,0.728052334853427,0.29937858673903733,0.12633598,[None],3,cifar101,cifar10,cifar10_1,Neural Network
15,efficientnetb0,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/efficientnetb0/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.807,0.7480237148559311,0.30775883775083823,0.12797044,[None],4,cifar101,cifar10,cifar10_1,Neural Network
16,googlenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/googlenet/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8855,0.40227486111187405,0.17571668399240564,0.097974695,[None],0,cifar101,cifar10,cifar10_1,Neural Network
17,googlenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/googlenet/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8925,0.4009222712066917,0.17196904486684808,0.09154077,[None],1,cifar101,cifar10,cifar10_1,Neural Network
18,googlenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/googlenet/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.887,0.397391728121657,0.17008146362463475,0.08993193,[None],2,cifar101,cifar10,cifar10_1,Neural Network
19,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.6105,1.14950350328067,0.5243760908950401,0.4222356,[None],0,cifar101,cifar10,cifar10_1,Neural Network
20,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.6165,1.1003190385654402,0.5077311403558807,0.41566607,[None],1,cifar101,cifar10,cifar10_1,Neural Network
21,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.628,1.0879859703938914,0.5025591681264192,0.41893128,[None],2,cifar101,cifar10,cifar10_1,Neural Network
22,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.615,1.1168847197097833,0.5117971746304717,0.4183421,[None],3,cifar101,cifar10,cifar10_1,Neural Network
23,lenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/lenet/run_4.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.606,1.1580790250776056,0.5235886869297972,0.42308807,[None],4,cifar101,cifar10,cifar10_1,Neural Network
24,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.7975,0.6817778682977564,0.3059325982313552,0.15137158,[None],0,cifar101,cifar10,cifar10_1,Neural Network
25,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8075,0.6593030189877402,0.29431259539790994,0.15561265,[None],1,cifar101,cifar10,cifar10_1,Neural Network
26,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_2.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8085,0.6687572579395469,0.2903306982662813,0.15058166,[None],2,cifar101,cifar10,cifar10_1,Neural Network
27,mobilenet,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenet/run_3.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8015,0.6683960361841289,0.29761135258544746,0.15141092,[None],3,cifar101,cifar10,cifar10_1,Neural Network
28,mobilenetv2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenetv2/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.8245,0.6161266667669921,0.26224649015054374,0.12677291,[None],0,cifar101,cifar10,cifar10_1,Neural Network
29,mobilenetv2,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/mobilenetv2/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.825,0.637360651762732,0.2712334331958292,0.13608162,[None],1,cifar101,cifar10,cifar10_1,Neural Network
30,pnasneta,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasneta/run_0.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.685,0.9708168929067017,0.4426901490513447,0.33379102,[None],0,cifar101,cifar10,cifar10_1,Neural Network
31,pnasneta,/data/Projects/linear_ensembles/interp_ensembles/data/logits_miller/pnasneta/run_1.npz,/data/Projects/linear_ensembles/interp_ensembles/data/cifar10_1_targets.npy,0.7045,0.943459923234428,0.4230735100515752,0.26668072,[None],1,cifar101,cifar10,cifar10_1,Neural Network
